Width Items Result ProblemSolvingTime TotalTime Nthreads
10000 5000000 168552 322.204213 323.878154 16
10000 5000000 168552 313.561360 314.511594 2
10000 5000000 168552 322.468974 323.684622 32
10000 5000000 168552 322.664322 323.525280 4
10000 5000000 168552 322.293771 323.819391 8
1000 5000000 89873 32.094105 33.416299 16
1000 5000000 89873 31.695796 32.506162 2
1000 5000000 89873 32.577313 33.572924 32
1000 5000000 89873 32.258127 33.378283 4
1000 5000000 89873 32.209352 33.353770 8
100 5000000 9900 3.365546 4.439966 16
100 5000000 9900 3.298192 4.100634 2
100 5000000 9900 3.346989 4.511131 32
100 5000000 9900 3.344894 4.546930 4
100 5000000 9900 3.347672 4.386132 8
10000 500000 55981 32.269635 32.417929 16
10000 500000 55981 32.226330 32.314078 2
10000 500000 55981 32.241974 32.723916 32
10000 500000 55981 32.191466 32.349698 4
10000 500000 55981 32.289107 32.387466 8
1000 500000 45660 3.197248 3.383055 16
1000 500000 45660 3.125950 3.245647 2
1000 500000 45660 3.225173 3.424138 32
1000 500000 45660 3.302377 3.393565 4
1000 500000 45660 3.247245 3.389843 8
100 500000 9829 0.334231 0.432197 16
100 500000 9829 0.332036 0.439855 2
100 500000 9829 0.365013 0.546387 32
100 500000 9829 0.332502 0.483135 4
100 500000 9829 0.353474 0.448157 8
10000 50000 18820 3.196975 3.646913 16
10000 50000 18820 3.220947 3.234449 2
10000 50000 18820 3.196629 3.613026 32
10000 50000 18820 3.217253 3.241248 4
10000 50000 18820 3.261465 3.282503 8
1000 50000 16810 0.330626 0.354625 16
1000 50000 16810 0.322230 0.340281 2
1000 50000 16810 0.319160 0.433812 32
1000 50000 16810 0.322339 0.337823 4
1000 50000 16810 0.322810 0.413503 8
100 50000 8993 0.033271 0.060260 16
100 50000 8993 0.032451 0.049757 2
100 50000 8993 0.041271 0.071001 32
100 50000 8993 0.055084 0.080321 4
100 50000 8993 0.033725 0.055869 8
10000 5000 5858 0.327392 0.337576 16
10000 5000 5858 0.320090 0.324695 2
10000 5000 5858 0.327249 0.339891 32
10000 5000 5858 0.325696 0.332164 4
10000 5000 5858 0.327693 0.336265 8
1000 5000 5296 0.040812 0.053882 16
1000 5000 5296 0.031873 0.034655 2
1000 5000 5296 0.040469 0.052025 32
1000 5000 5296 0.037797 0.047616 4
1000 5000 5296 0.038466 0.049502 8
100 5000 4801 0.007248 0.026231 16
100 5000 4801 0.003343 0.005711 2
100 5000 4801 0.011844 0.034136 32
100 5000 4801 0.006648 0.013161 4
100 5000 4801 0.006675 0.014791 8
10000 500 1728 0.038241 0.048950 16
10000 500 1728 0.037838 0.042492 2
10000 500 1728 0.040224 0.060418 32
10000 500 1728 0.039519 0.042535 4
10000 500 1728 0.038456 0.045696 8
1000 500 1722 0.006459 0.014990 16
1000 500 1722 0.006405 0.008431 2
1000 500 1722 0.012561 0.017256 32
1000 500 1722 0.006461 0.009243 4
1000 500 1722 0.006453 0.017008 8
100 500 1782 0.000667 0.021442 16
100 500 1782 0.000730 0.003510 2
100 500 1782 0.000683 0.014083 32
100 500 1782 0.000682 0.003540 4
100 500 1782 0.000670 0.012579 8
10000 50 546 0.006644 0.016386 16
10000 50 546 0.003335 0.004926 2
10000 50 546 0.006642 0.015591 32
10000 50 546 0.006665 0.009315 4
10000 50 546 0.006643 0.020567 8
1000 50 533 0.000644 0.015977 16
1000 50 533 0.000637 0.003064 2
1000 50 533 0.000643 0.012088 32
1000 50 533 0.000647 0.003289 4
1000 50 533 0.000634 0.007154 8
100 50 700 0.000075 0.012333 16
100 50 700 0.000036 0.001671 2
100 50 700 0.000071 0.008286 32
100 50 700 0.000072 0.002993 4
100 50 700 0.000071 0.008469 8
5 5 84 0.000001 0.005577 16
5 5 84 0.000002 0.002349 2
5 5 84 0.000002 0.014625 32
5 5 84 0.000002 0.002582 4
5 5 84 0.000002 0.011005 8
10000 5000000 168552 398.709240 399.866610 1
1000 5000000 89873 33.370397 34.603251 1
100 5000000 9900 3.589241 4.669561 1
10000 500000 55981 37.188879 37.335175 1
1000 500000 45660 3.335023 3.464980 1
100 500000 9829 0.429590 0.504749 1
10000 50000 18820 3.596920 3.630434 1
1000 50000 16810 0.416006 0.425218 1
100 50000 8993 0.043544 0.051786 1
10000 5000 5858 0.402978 0.409294 1
1000 5000 5296 0.040916 0.042258 1
100 5000 4801 0.004421 0.005854 1
10000 500 1728 0.041220 0.041914 1
1000 500 1722 0.004167 0.004834 1
100 500 1782 0.000916 0.001868 1
10000 50 546 0.004262 0.004889 1
1000 50 533 0.000451 0.001046 1
100 50 700 0.000074 0.000573 1
5 5 129 0.000011 0.000819 1
