Width Items Time1Thread Time2Threads Time4Threads Time8Threads Time16Threads Time32Threads
10000 5000000 399.866610 314.511594 323.525280 323.819391 323.878154 323.684622
1000 5000000 34.603251 32.506162 33.378283 33.353770 33.416299 33.572924
100 5000000 4.669561 4.100634 4.546930 4.386132 4.439966 4.511131
10000 500000 37.335175 32.314078 32.349698 32.387466 32.417929 32.723916
1000 500000 3.464980 3.245647 3.393565 3.389843 3.383055 3.424138
100 500000 0.504749 0.439855 0.483135 0.448157 0.432197 0.546387
10000 50000 3.630434 3.234449 3.241248 3.282503 3.646913 3.613026
1000 50000 0.425218 0.340281 0.337823 0.413503 0.354625 0.433812
100 50000 0.051786 0.049757 0.080321 0.055869 0.060260 0.071001
10000 5000 0.409294 0.324695 0.332164 0.336265 0.337576 0.339891
1000 5000 0.042258 0.034655 0.047616 0.049502 0.053882 0.052025
100 5000 0.005854 0.005711 0.013161 0.014791 0.026231 0.034136
10000 500 0.041914 0.042492 0.042535 0.045696 0.048950 0.060418
1000 500 0.004834 0.008431 0.009243 0.017008 0.014990 0.017256
100 500 0.001868 0.003510 0.003540 0.012579 0.021442 0.014083
10000 50 0.004889 0.004926 0.009315 0.020567 0.016386 0.015591
1000 50 0.001046 0.003064 0.003289 0.007154 0.015977 0.012088
100 50 0.000573 0.001671 0.002993 0.008469 0.012333 0.008286
5 5 0.000819 0.002349 0.002582 0.011005 0.005577 0.014625
